,Index,Article Type,Title,Authors,Publication Source,Publication Year,Citations,Importance Rate,Impact Factor,Article Link,BibTex,Synopsis,Cluster
528,529,4,A Recommender System for an IPTV Service Provider: a Real Large-Scale Production Environment,"P. Cremonesi, R. Turrin, Riccardo Bambini",Recommender Systems Handbook,2011,89,1.494068215521503, ,https://www.semanticscholar.org/paper/f5475a3f1afd9c2114ee00fd700a719f4263d8a1,"@None{Bambini2011ARS,
 author = {Riccardo Bambini and P. Cremonesi and R. Turrin},
 booktitle = {Recommender Systems Handbook},
 pages = {299-331},
 title = {A Recommender System for an IPTV Service Provider: a Real Large-Scale Production Environment},
 year = {2011}
}
",No synopsis,7
529,530,4,A social network-based recommender system,"Jianming He, W. Chu",-,2010,54,1.493573900148295, ,https://www.semanticscholar.org/paper/cc9c82b9b131291456cbba2335b216be2929339f,"@None{Chu2010ASN,
 author = {W. Chu and Jianming He},
 title = {A social network-based recommender system},
 year = {2010}
}
","For more than a decade, recommender systems have been proposed as a key tool to overcome information overload, and many algorithms and systems have been developed. Despite all these efforts, recommender systems still face many challenges—such as improving prediction accuracy, data sparsity, and cold-start issues. On the other hand, the recent emergence of online social networks provides us with an unprecedented large amount of information regarding user behavior and friend interactions. Especially, homophily effects among friends have demonstrated their importance to product marketing, and marketing strategies that utilize homophily have achieved great success. However, such information has not yet been considered in recommender systems. 
In this dissertation we propose a new paradigm of recommender systems which can significantly improve performance by utilizing information in social networks. In particular, we address the following challenging issues in building a social network-based recommender system. 1) We investigate the existence of homophily among friends in rating items using statistical analyses on a dataset crawled from a real online social network, Yelp.com. 2) To understand the role of social relationships in a social network-based recommender system, we develop a Bayesian network-based recommender system (SNRS-BN) based on a simplified homogeneous social network, and study the performance of SNRS-BN under different types of social relationships. 3) We develop a social network-based recommender system (SNRS) which utilizes more information in social network, including user preferences, an item's likability, and homophily effects among friends, to provide better recommendations. An iterative classification has been adopted in this system to incorporate homophily even from friends at multiple hops away. The performance improvements of SNRS are validated through experiments on the Yelp dataset in terms of both prediction accuracy and coverage over traditional recommender systems. 4) To overcome the problems of heterogeneities in social networks, we propose to select relevant friends for inference based on the semantics in fine-grained user ratings on their buying decisions. An experiment is carried out in a graduate student class to validate performance improvements from such semantic filtering. 5) We discuss the trust issues caused by malicious users and users with unreliable domain knowledge in SNRS. In particular, for the case of users with unreliable domain knowledge, we propose to estimate homophily more robustly by relaxing the item category information according to item taxonomy. Future work in this direction will be desirable.",31
530,531,4,A proposed semantic recommendation system for e-learning: A rule and ontology based e-learning recommendation system,"N. Zin, S. Banihashem, Saman Shishehchi",International Symposium on Information Theory,2010,69,1.493573900148295, ,https://www.semanticscholar.org/paper/c3233ce857c5be3c5cf590b296d026b5741d52d5,"@None{Shishehchi2010APS,
 author = {Saman Shishehchi and S. Banihashem and N. Zin},
 booktitle = {International Symposium on Information Theory},
 journal = {2010 International Symposium on Information Technology},
 pages = {1-5},
 title = {A proposed semantic recommendation system for e-learning: A rule and ontology based e-learning recommendation system},
 volume = {1},
 year = {2010}
}
","With proliferation of learning contents on the web, finding suitable ones has become a very difficult and complicated task for online learners, to achieve better performance. Nevertheless, recommender systems can be a solution to the problem. However, recommendation systems haven't been sufficiently used in e-learning, in comparison with other fields (i.e. commerce, medicine and so on). In this paper, we propose a semantic recommender system for e-learning by means of which, learners will be able to find and choose the right learning materials suitable to their field of interest. The proposed web based recommendation system comprises ontology and web ontology language (OWL) rules. Rule filtering will be used as recommendation technique. Our proposed recommendation system architecture consists of two subsystems; Semantic Based System and Rule Based System. Modules for either subsystem are; Observer, Learner profile, Recommendation storage and User interface.",11
531,532,4,MovieLens Unplugged: Experiences with a Recommender System on Four Mobile Devices,"Bradley N. Miller, I. Albert, J. Konstan, J. Riedl, S. K. Lam",-,2004,67,1.490608007909046, ,https://www.semanticscholar.org/paper/c2df5aa98c6f84886efa1389d5d88c58ad4a9bb5,"@None{Miller2004MovieLensUE,
 author = {Bradley N. Miller and I. Albert and S. K. Lam and J. Konstan and J. Riedl},
 pages = {263-279},
 title = {MovieLens Unplugged: Experiences with a Recommender System on Four Mobile Devices},
 year = {2004}
}
",No synopsis,7
532,533,4,Merchant Recommender System Using Credit Card Payment Data,"Jaekwang Kim, Suyoun Yoo",Electronics,2023,0,1.0, ,https://www.semanticscholar.org/paper/4ab1328304245437fc75f888e49de4fe6eb38716,"@None{Yoo2023MerchantRS,
 author = {Suyoun Yoo and Jaekwang Kim},
 booktitle = {Electronics},
 journal = {Electronics},
 title = {Merchant Recommender System Using Credit Card Payment Data},
 year = {2023}
}
","As the size of the domestic credit card market is steadily growing, the marketing method for credit card companies to secure customers is also changing. The process of understanding individual preferences and payment patterns has become an essential element, and it has developed a sophisticated personalized marketing method to properly understand customers’ interests and meet their needs. Based on this, a personalized system that recommends products or stores suitable for customers acts to attract customers more effectively. However, the existing research model implementing the General Framework using the neural network cannot reflect the major domain information of credit card payment data when applied directly to store recommendations. This study intends to propose a model specializing in the recommendation of member stores by reflecting the domain information of credit card payment data. The customers’ gender and age information were added to the learning data. The industry category and region information of the settlement member stores were reconstructed to be learned together with interaction data. A personalized recommendation system was realized by combining historical card payment data with customer and member store information to recommend member stores that are highly likely to be used by customers in the future. This study’s proposed model (NMF_CSI) showed a performance improvement of 3% based on HR@10 and 5% based on NDCG@10, compared to previous models. In addition, customer coverage was expanded so that the recommended model can be applied not only to customers actively using credit cards but also to customers with low usage data.",7
533,534,4,A synthetic agent to simulate decisional behaviour of designers working with an active recommender framework system,"I. Horváth, Sirasak Tepjit",Journal of Integrated Design & Process Science,2023,0,1.0, ,https://www.semanticscholar.org/paper/8206cd9981df3d9d13bd555d5e52af32695d60c6,"@None{Horváth2023ASA,
 author = {I. Horváth and Sirasak Tepjit},
 booktitle = {Journal of Integrated Design & Process Science},
 journal = {Journal of Integrated Design and Process Science},
 title = {A synthetic agent to simulate decisional behaviour of designers working with an active recommender framework system},
 year = {2023}
}
","ApplicationApplication-specific reasoning mechanisms (ASRMs) development is a rapidly growing domain of systems engineering. A demonstrative implementation of an active recommender system (ARS) was realized to support designing ASRMs and to circumvent procedural obstacles by providing context-sensitive recommendations. The specific problem for the research presented in this paper was the development of a synthetic validation agent (SVA) to simulate the decisional behaviour of designers and to generate data about the usefulness of the recommendations. The fact of the matter is that the need for the SVA was raised by the pandemic, which prevented involving groups of human designers in the recommendation testing process. The reported research had three practical goals: (i) development of the logical fundamentals for the SVA, (ii) computational implementation of the SVA, and (iii) application of the SVA in data generation for the evaluation of usefulness of recommendation. The SVA is based on a probabilistic decisional model that quantifies decisional options according to the assumed decisional tendencies. The three key concepts underlying the SVA are (i) decisional logic, (ii) decisional knowledge, and (iii) decisional probability. These together enable generation of reliable data about the decisional behaviours of human designers concerning the obtained recommendations. The completed tests proved the above assumption.",7
534,535,4,AIS Electronic Library (AISeL) AIS Electronic Library (AISeL) User control and acceptance of recommender systems User control and acceptance of recommender systems,Emil Mirzayev,-,2022,0,0.9995056846267919, ,https://www.semanticscholar.org/paper/93dee50f2d390a5d8a5844292f4830e4cb8cdf2b,"@None{Mirzayev2022AISEL,
 author = {Emil Mirzayev},
 title = {AIS Electronic Library (AISeL) AIS Electronic Library (AISeL) User control and acceptance of recommender systems User control and acceptance of recommender systems},
 year = {2022}
}
","Recommender systems (RS) are systems that use historical information about user-item interaction in each online environment and suggest new items to users. Because of their high commercial importance, both their initial applications and research has focused on making them more accurate. However, it was later observed that users’ preference changes over time and systems fail to catch up to those changes. Hence, the importance of personalization of RS had been concluded [1]. System engineers introduced control mechanisms which aimed to “involve the users in personalization process and have an immediate effect on recommendations” [2]. Previous research concluded ambiguous effects of those mechanisms. This raises the question about the acceptance of such systems which is the main objective of this study. Traditionally, the acceptance of a particular technology is determined by one’s behavioral intentions to use it [3]. Technology acceptance model (TAM) has been a seminal work in IT acceptance and adoption [4]. The core theory suggests that BI is affected by perceived ease of use and perceived usefulness. TAM has been extended and used extensively in numerous settings in IS literature. We also use TAM and broaden it with user control as an additional moderating variable. We hypothesize that control mechanisms have three main effects in this framework: a) it increases perceived usefulness b) it decreases perceived ease of use c) it has direct effect on behavioral intentions. We develop an experimental design where a participant is presented with a choice task to select five options from a given choice set following a pre-defined user preference. Pre-defined preference allows us to evaluate their performance and tie their remuneration to it. Study subjects are also presented recommended options which in their initial state are detached from the pre-defined user preference. Participants can use control mechanisms to personalize the recommendations. By means of availably tools, they can determine the level with which recommender system reflects their (pre-defined) tastes. Such setting allows us to study which part of performance differential is due to quality of recommendations. The ability to sort the options across any of the features is added to the interface. Notice, that even though using this feature could potentially help subjects to solve the task it does not provide a useful input to the recommender system and, therefore, does not change recommended options. Hence, it can be seen as a manifestation of the illusion of control. Our study allows to explicitly evaluate trade-off between user control and RS acceptance. We also address the generalizability issue of the previous studies investigating user control. Additionally, this study can enable system designers to optimize user participation in personalization.",19
535,536,4,Medicine Recommend System Using Machine Learning,"Aditya Hargane, Prajakta Khairnar, Pratik Baisware, Vamsi Avula",International Journal of Scientific Research in Science Engineering and Technology,2022,0,0.9995056846267919, ,https://www.semanticscholar.org/paper/f6aacdeb12523b64534249078a6f1eeebfee5144,"@None{Khairnar2022MedicineRS,
 author = {Prajakta Khairnar and Vamsi Avula and Aditya Hargane and Pratik Baisware},
 booktitle = {International Journal of Scientific Research in Science Engineering and Technology},
 journal = {International Journal of Scientific Research in Science, Engineering and Technology},
 title = {Medicine Recommend System Using Machine Learning},
 year = {2022}
}
","Most people tend to live a long and healthy life, but people are busy in their day-to-day life and it is not possible for everyone to visit doctors for minor symptoms of a disease. Many people do not know about medicines and to visit a doctor and consult for minor symptoms for medicines is a time-consuming process. AI and machine learning like emerging technology can help us to create a recommended system that will prescribe medicine and this system can accurately predict a medicine to use. In this paper proposes the medicine recommendation system which will predict disease and medicine according to symptoms entered by patients/users.",9
536,537,4,The centuries long pursuit to map the human lymphatic system,"Andrea J. Radtke, I. Rovira, Jessica M Lukacs, Nancy E Praskievicz, Selen C. Muratoglu, Z. Galis",Nature Network Boston,2022,1,0.9995056846267919, ,https://www.semanticscholar.org/paper/b2909c75dda9c17e2e67e76c3de18162e8c9a34e,"@['LettersAndComments']{Radtke2022TheCL,
 author = {Andrea J. Radtke and Jessica M Lukacs and Nancy E Praskievicz and Selen C. Muratoglu and I. Rovira and Z. Galis},
 booktitle = {Nature Network Boston},
 journal = {Nature Medicine},
 pages = {1518 - 1520},
 title = {The centuries long pursuit to map the human lymphatic system},
 volume = {28},
 year = {2022}
}
",No synopsis,8
537,538,4,Implementation of Dimensionality Reduction with SVD to Improve Rating Prediction in Recommender System,"M. N. Mu’afa, Z. Baizal",Journal of Computer System and Informatics (JoSYC),2022,0,0.9995056846267919, ,https://www.semanticscholar.org/paper/8f54e800ab28f454ac699ed098abb0d815f5f27e,"@None{Mu’afa2022ImplementationOD,
 author = {M. N. Mu’afa and Z. Baizal},
 booktitle = {Journal of Computer System and Informatics (JoSYC)},
 journal = {Journal of Computer System and Informatics (JoSYC)},
 title = {Implementation of Dimensionality Reduction with SVD to Improve Rating Prediction in Recommender System},
 year = {2022}
}
","Recommender system is widely implemented in various fields. Collaborative Filtering is one of the most used recommender system paradigms because it is easy to use. K-means clustering algorithm is widely use in Collaborative Filtering. This algorithm can predict the item rating that will be given by a user. Rating can be predicted by calculating the average rating of the item. The clustering performance of this algorithm is low because this algorithm selects initial centroid randomly. This causes high errors in the item rating prediction. To obtain lower error, we propose dimensionality reduction with Singular Value Decomposition (SVD). SVD is able to factorize the clustering result data and reduce dimensionality of the data. Dimensionality reduction with SVD can be carried out by removing non-dominant characteristics of the data. This study uses the result of factorization to calculate the similarity between clusters. The value of similarity between clusters is used to predict the rating of an item that will be given by a cluster. The experimental results show that the combined method of K-means and SVD can produces RMSE up to 8.936% lower than the K-means method.",7
538,539,4,THE PARTICIPATION OF UX DESIGNERS IN ARTIFICIAL INTELLIGENCE PROJECTS: RECOMMENDER SYSTEMS,"Cinthia Ruiz, Manuela Quaresma",Ergodesign &amp; HCI,2022,0,0.9995056846267919, ,https://www.semanticscholar.org/paper/d053b7fa82920c887488ee5fa43762bbdb1ed547,"@None{Ruiz2022THEPO,
 author = {Cinthia Ruiz and Manuela Quaresma},
 booktitle = {Ergodesign &amp; HCI},
 journal = {Ergodesign &amp; HCI},
 title = {THE PARTICIPATION OF UX DESIGNERS IN ARTIFICIAL INTELLIGENCE PROJECTS: RECOMMENDER SYSTEMS},
 year = {2022}
}
","With technological advances, artificial intelligence has gained prominence and we increasingly find innovative products on the market, bringing it as a differential. One example is machine learning-based recommender systems, which filter content in a personalized way for each user, saving the user's time and cognitive effort. Like any novelty, the professional market is still maturing, and users are learning to interact with interfaces. The performance of a UX designer becomes relevant to ensure a good user experience. Therefore, it is important to investigate the market to map the participation of the UX designer in the development of products that use a recommendation system. For this purpose, this research involved market professionals in interviews to understand the UX Designer's participation in developing recommendation systems based on machine learning and identified several relevant issues that point to the need to focus on human factors. It also indicates the training of professionals, the generation of content on the theme of AI/ML aimed at designers and working on the culture of companies.",42
539,540,4,Performance of Multi-Criteria Recommender System Using Cosine-Based Similarity for Selecting Halal Tourism,"Hani Nurhayati, Linda Salma Angreani, Rizqi Aulia Nadhifah, Yunifa Miftachul Arif",Applied Information System and Management (AISM),2022,0,0.9995056846267919, ,https://www.semanticscholar.org/paper/a0e1caf0d2371e1a3c8bd764284cc707798ad340,"@None{Nadhifah2022PerformanceOM,
 author = {Rizqi Aulia Nadhifah and Yunifa Miftachul Arif and Hani Nurhayati and Linda Salma Angreani},
 booktitle = {Applied Information System and Management (AISM)},
 journal = {Applied Information System and Management (AISM)},
 title = {Performance of Multi-Criteria Recommender System Using Cosine-Based Similarity for Selecting Halal Tourism},
 year = {2022}
}
","Tourism is an activity where people or groups travel voluntarily for relaxation, seeking entertainment, or enjoy cultural diversity both within the city, outside the city, or even abroad. For traveling, information about halal tourism is essential that tourists must know. Tourists can contact a tour guide to find information and recommendations for halal tourism. However, it will cost quite a bit and need for a recommendation system to obtain recommendations and make it easier for tourists to determine which halal tourism to visit. This study aims to obtain the Multi-Criteria Recommender System's (MCRS) performance using cosine-based similarity to select halal tourism in Batu City. MCRS extends the traditional approach by using more than one scoring criteria to generate recommendations. The implementation of MCRS using cosine-based similarity succeeded in producing the five highest recommendations for halal tourist attractions, which were implemented in a game-based system. Through recommendation accuracy testing on two items, three items, four items, and five tourist attractions items, we obtained an average accuracy is 77,95%.",24
540,541,4,When a 17-Year-Old Girl Is Diagnosed with Myalgic Encephalomyelitis: A Case Study from the Swedish Health Care System—A Parent Perspective,"Anabelle Paulino, D. Ullman, E. B. Horwitz, J. Axelsson, Jonas Bergquist, Leif Widebert, O. Polo, T. Theorell",Case Reports in Clinical Medicine,2022,0,0.9995056846267919, ,https://www.semanticscholar.org/paper/51eb47211da023b4101fff950ba218e81977fd7e,"@None{Horwitz2022WhenA1,
 author = {E. B. Horwitz and J. Axelsson and O. Polo and Leif Widebert and T. Theorell and Anabelle Paulino and D. Ullman and Jonas Bergquist},
 booktitle = {Case Reports in Clinical Medicine},
 journal = {Case Reports in Clinical Medicine},
 title = {When a 17-Year-Old Girl Is Diagnosed with Myalgic Encephalomyelitis: A Case Study from the Swedish Health Care System—A Parent Perspective},
 year = {2022}
}
","This case study presents different strategies that were explored by the patient’s mother (who is a researcher in music and medicine) when her 17-year-old daughter was diagnosed with ME (Myalgic Encephalomyelitis), also known as Chronic Fatigue Syndrome (CFS). ME is not widely recognized in the Global as well as the Swedish population at large, and within healthcare, there are no standardized recommended treatments, partly due to the lack of published evidence-based studies. This case study aims to provide insights into how the Swedish healthcare system works, how different clinics and hospitals within it operate and interconnect; and how these contribute to health outcomes after 15 months of treatment.",38
541,542,4,"A recommender system based on collaborative filtering, graph theory using HMM based similarity measures","Anshul Gupta, Pravin Srinath",International Journal of System Assurance Engineering and Management,2022,0,0.9995056846267919, ,https://www.semanticscholar.org/paper/b65d222ab5c1717d837e54fae54ff6ebc27d57c8,"@None{Gupta2022ARS,
 author = {Anshul Gupta and Pravin Srinath},
 booktitle = {International Journal of System Assurance Engineering and Management},
 journal = {International Journal of System Assurance Engineering and Management},
 pages = {533-545},
 title = {A recommender system based on collaborative filtering, graph theory using HMM based similarity measures},
 volume = {13},
 year = {2022}
}
",No synopsis,13
542,543,4,Pessimistic Decision-Making for Recommender Systems,"Bart Goethals, Olivier Jeunen",ACM Transactions on Recommender Systems,2022,0,0.9995056846267919, ,https://www.semanticscholar.org/paper/ce680166faf97ef63eb9daeb9893533ae3cdf4fc,"@None{Jeunen2022PessimisticDF,
 author = {Olivier Jeunen and Bart Goethals},
 booktitle = {ACM Transactions on Recommender Systems},
 journal = {ACM Transactions on Recommender Systems},
 pages = {1 - 27},
 title = {Pessimistic Decision-Making for Recommender Systems},
 volume = {1},
 year = {2022}
}
","Modern recommender systems are often modelled under the sequential decision-making paradigm, where the system decides which recommendations to show in order to maximise some notion of either imminent or long-term reward. Such methods often require an explicit model of the reward a certain context-action pair will yield – for example, the probability of a click on a recommendation. This common machine learning task is highly non-trivial, as the data-generating process for contexts and actions can be skewed by the recommender system itself. Indeed, when the deployed recommendation policy at data collection time does not pick its actions uniformly-at-random, this leads to a selection bias that can impede effective reward modelling. This in turn makes off-policy learning – the typical setup in industry – particularly challenging. Existing approaches for value-based learning break down in such environments. In this work, we propose and validate a general pessimistic reward modelling approach for off-policy learning in recommendation. Bayesian uncertainty estimates allow us to express scepticism about our own reward model, which can in turn be used to generate a conservative decision rule. We show how it alleviates a well-known decision making phenomenon known as the Optimiser’s Curse, and draw parallels with existing work on pessimistic policy learning. Leveraging the available closed-form expressions for both the posterior mean and variance when a ridge regressor models the reward, we show how to apply pessimism effectively and efficiently to an off-policy recommendation use-case. Empirical observations in a wide range of simulated environments show that pessimistic decision-making leads to a significant and robust increase in recommendation performance. The merits of our approach are most outspoken in realistic settings with limited logging randomisation, limited training samples, and larger action spaces. We discuss the impact of our contributions in the context of related applications like computational advertising, and present a scope for future research based on hybrid off-/on-policy bandit learning methods for recommendation.",19
543,544,4,"A recommender system based on collaborative filtering, graph theory using HMM based similarity measures","Anshul Gupta, Pravin Srinath",International Journal of System Assurance Engineering and Management,2022,0,0.9995056846267919, ,https://www.semanticscholar.org/paper/0f3f2468f3a73f6f62b3816f1a30ca4babdc14ea,"@None{Gupta2022ARS,
 author = {Anshul Gupta and Pravin Srinath},
 booktitle = {International Journal of System Assurance Engineering and Management},
 journal = {International Journal of System Assurance Engineering and Management},
 pages = {533 - 545},
 title = {A recommender system based on collaborative filtering, graph theory using HMM based similarity measures},
 volume = {13},
 year = {2022}
}
",No synopsis,13
544,545,4,Knowledge-Enhanced Attributed Multi-Task Learning for Medicine Recommendation,"Changsheng Xu, Quan Fang, Shengsheng Qian, Xian Wu, Yingying Zhang",ACM Transactions on Information Systems,2022,3,0.9995056846267919, ,https://www.semanticscholar.org/paper/21e853cd1b8600f1f7e438a5f85e6c2d7ac66ed5,"@None{Zhang2022Knowledge-EnhancedAM,
 author = {Yingying Zhang and Xian Wu and Quan Fang and Shengsheng Qian and Changsheng Xu},
 booktitle = {ACM Transactions on Information Systems},
 journal = {ACM Transactions on Information Systems},
 pages = {1 - 24},
 title = {Knowledge-Enhanced Attributed Multi-Task Learning for Medicine Recommendation},
 volume = {41},
 year = {2022}
}
","Medicine recommendation systems target to recommend a set of medicines given a set of symptoms which play a crucial role in assisting doctors in their daily clinics. Existing approaches are either rule-based or supervised. However, the former heavily relies on expert labeling, which is time-consuming and costly to collect, and the latter suffers from the data sparse problem. To automate medicine recommendation on sparse data, we propose MedRec, which introduces two graphs in modeling: (1) a knowledge graph connecting diseases, medicines, symptoms, and examinations; (2) an attribute graph connecting medicines via shared attributes and molecular structures. These two graphs enhance the connectivity between symptoms and medicines, which thus alleviate the data sparse problem. By learning the interrelationship between diseases, medicines, symptoms and examinations and the inner relationship within medicine, we can acquire unified embedding representations of symptoms and medicines which can be used in medicine recommendation. The experimental results show that the proposed model outperforms state-of-the-art methods. In addition, we find that these two tasks: learning graph representation and medical recommendation can benefit each other.",11
545,546,4,Optimal Recommender System Design,C. Lee,-,2022,3,0.9995056846267919, ,https://www.semanticscholar.org/paper/28b24c321bedf6b5c7fbc29df8a78bd1bcf88f93,"@None{Lee2022OptimalRS,
 author = {C. Lee},
 title = {Optimal Recommender System Design},
 year = {2022}
}
","Intermediaries such as Amazon and Google recommend products and services to consumers for which they receive compensation from the recommended sellers. Consumers will find these recommendations useful only if they are informative about the quality of the match between the sellers’ offerings and the consumer’s needs. The intermediary would like the consumer to purchase the product from the recommended seller, but is constrained because consumers need not follow the recommendation. I frame the intermediary’s problem as a mechanism design problem in which the mechanism designer cannot directly choose the outcome, but must encourage the consumer to choose the desired outcome. I show that in the optimal mechanism, the recommended seller has the largest non-negative virtual willingness to pay adjusted for the cost of persuasion. The optimal mechanism can be implemented via a handicap auction. I use this model to provide insights for current policy debates. First, to examine the impact of the intermediary’s use of seller data, I identify types of seller data that lead to benefit or harm to the consumer and sellers. Second, I find that the optimal direct mechanism protects consumer privacy, but consumer data is leaked to sellers under other implementations. Lastly, I show that the welfare-maximizing mechanism increases the consumer surplus, but reduces the joint profit of the intermediary and sellers relative to the revenue-maximizing mechanism. ∗University of Pennsylvania. Email: changhwa@sas.upenn.edu. I am deeply indebted to Rakesh Vohra, George Mailath and Andrew Postlewaite for their guidance and support at every stage of this paper. I thank Kevin He, Aislinn Bohren, Hanming Fang, Pedro Solti, Nawaaz Khalfan, Cuimin Ba, Alice Gindin, Andelyn Russell and several seminar participants for helpful comments and suggestions.",2
546,547,4,Closing the Quality Assurance Feedback Loop: Independent Recommender System VALidator,K. Wells,2022 International Symposium on Multidisciplinary Studies and Innovative Technologies (ISMSIT),2022,0,0.9995056846267919, ,https://www.semanticscholar.org/paper/3f61ec2030be9065b916b829857a726848617c87,"@None{Wells2022ClosingTQ,
 author = {K. Wells},
 booktitle = {2022 International Symposium on Multidisciplinary Studies and Innovative Technologies (ISMSIT)},
 journal = {2022 International Symposium on Multidisciplinary Studies and Innovative Technologies (ISMSIT)},
 pages = {841-844},
 title = {Closing the Quality Assurance Feedback Loop: Independent Recommender System VALidator},
 year = {2022}
}
","Recommender systems are endemic, increasingly used for social decision-making processes, reducing a complex human to a single data item, and are unfortunately known for bias particularly when used in the context of criminal justice. Administrative demands, ‘doing more with less’, ensure that recommender systems will remain in use to varying degrees in different jurisdictions. Consider the potential circumstances of a judicial officer using a false positive bail recommendation to release a serial rapist into the community, or a false negative bail recommendation to remand a defendant where they have carer's responsibility for elderly parents or children. Quality assurance including quality control activities are standard in other fields, namely medicine, however software quality assurance for recommender systems supporting social decision-making processes has not yet matured, focusing on technical internal system improvements. When the outcome of a data-driven recommender system can erroneously drastically impose on freedom, we need to have reliable quality assurance alongside the ability to invoke our “right to be an exception” [1]. This paper briefly outlines the co-design and testing of a novel quality control validation tool (VAL *©) that highlights such exceptions, independent of recommender systems, with case studies. VAL re-humanizes the defendant for the judicial officer or prosecutor, providing key specific circumstances alongside the recommendation, enabling better informed outcomes.",7
547,548,4,Recommender System with User-Based and Item-Based Collaborative Filtering on Twitter using K-Nearest Neighbors Classification,"E. B. Setiawan, Muhammad Shiba Kabul",Journal of Computer System and Informatics (JoSYC),2022,0,0.9995056846267919, ,https://www.semanticscholar.org/paper/b1df889f084705a8fe9df2f02f0ce6d501bc3ff6,"@None{Kabul2022RecommenderSW,
 author = {Muhammad Shiba Kabul and E. B. Setiawan},
 booktitle = {Journal of Computer System and Informatics (JoSYC)},
 journal = {Journal of Computer System and Informatics (JoSYC)},
 title = {Recommender System with User-Based and Item-Based Collaborative Filtering on Twitter using K-Nearest Neighbors Classification},
 year = {2022}
}
","Netflix is one of the most widely used applications for watching movies online. There are various movie titles that can be watched by users, so a recommendation system is needed to help users who feel confused in choosing movie titles. Twitter is a social media used to express ideas, thoughts, and feelings. Not a few Twitter users who conduct movie discussions, with the movie discussion can be converted into a rating that can be used in the recommendation system. Collaborative Filtering is one of the methods of the recommendation system, by recommending based on the similarity between users (user-based) and based on items that have similarities with user-selected items (item-based). In this research, the Collaborative Filtering method is combined with K-Nearest Neighbors classification which obtains an RMSE value for user-based 1.8244 and item-based 0.5449. K-Nearest Neighbors gets 91.22% precision and 91.07% recall for user-based, while item-based gets 89.44% precision and 91.22% recall with the optimal K as a parameter is 3.",13
548,549,4,Recommender System Based on Tweets with Singular Value Decomposition and Support Vector Machine Classification,"E. B. Setiawan, Rafi Anandita Wicaksono",Journal of Computer System and Informatics (JoSYC),2022,0,0.9995056846267919, ,https://www.semanticscholar.org/paper/ebf487b5980442480a32158da3c4d174dcc4dfd7,"@None{Wicaksono2022RecommenderSB,
 author = {Rafi Anandita Wicaksono and E. B. Setiawan},
 booktitle = {Journal of Computer System and Informatics (JoSYC)},
 journal = {Journal of Computer System and Informatics (JoSYC)},
 title = {Recommender System Based on Tweets with Singular Value Decomposition and Support Vector Machine Classification},
 year = {2022}
}
","In modern times, the movie industry is growing rapidly. Netflix is one of the platforms that can be used to watch movies and provides many types of genres and movie titles. With so many genres and movie titles sometimes making it difficult for people to choose a movie to watch, one solution to the problem is a recommendation system that can recommend movies based on user ratings. One method in the recommendation system is collaborative filtering. One of the algorithms contained in collaborative filtering is singular value decomposition. Twitter is one of the places where people often write their opinions about the movies they have watched, from people's tweets on Twitter will be processed into rating value data. In this system, tweets become input that is processed into data that has a rating. This research implements a user-based recommendation system based on ratings from tweets using collaborative filtering combined with the Singular Value Decomposition (SVD) algorithm and Support Vector Machine (SVM) classification and implemented it on user-based and item-based. This research aims to implement a system that combines collaborative filtering techniques with the Singular Value Decomposition (SVD) algorithm and Support Vector Machine (SVM) classification. With the hope of producing a good movie recommendation model and providing accurate predictions for recommended and non-recommended movies. The test results in this study show that Collaborative Filtering gets the best RMSE value of 0.8162 on user-based and 0.5911 on item-based. The combination of Singular Value Decomposition (SVD) algorithm and Support Vector Machine (SVM) classification using hyperparameter tuning resulted in 81% precision and 81% recall for user-based while 80% precision and 80% recall for item-based.",47
549,550,4,Molecular Pathology: A Paradigm Shift towards Precision Medicine,,Pakistan journal of medicine and dentistry,2021,0,0.9990113692535838, ,https://www.semanticscholar.org/paper/295a742d651830dc2fb47daaa1b18d494578b8c1,"@None{None,
 booktitle = {Pakistan journal of medicine and dentistry},
 journal = {Pakistan Journal of Medicine and Dentistry},
 title = {Molecular Pathology: A Paradigm Shift towards Precision Medicine},
 year = {2021}
}
","Healthcare system is experiencing a paradigm shift to precision medicine. Genotypic–phenotypic affiliation has been found to be a fundamental percept in biology after the completion of Human Genome project. The first era of precision medicine is now split into groups and subgroups, making it a meaningful strategy concurrently throughout the clinical phases of drug designing and development. It likewise recommends healthcare reshaping that suggests disease perceptivity or remedial treatment. Thus, translational genomics addresses bench to bedside approach to achieve P4 medicine (personalized, predictive, preventive, and participatory), i.e., early disease diagnosis and specifically designed treating plans instead of one size fits all1.",35
550,551,4,Recommender Systems for Medicine and Music,,Studies in Computational Intelligence,2021,3,0.9990113692535838, ,https://www.semanticscholar.org/paper/07f108f4ab10c09c7ac7e2b0b829d4ba91d581eb,"@None{None,
 booktitle = {Studies in Computational Intelligence},
 journal = {Studies in Computational Intelligence},
 title = {Recommender Systems for Medicine and Music},
 year = {2021}
}
",No synopsis,19
